customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,streaming_tv,streaming_movies,tech_support,online_security,churn
CUST_000091,2,18.32,75.33,Month-to-Month,Bank transfer,DSL,0,0,0,0,1
CUST_000092,24,17.42,460.13,Month-to-Month,Bank transfer,Fiber optic,0,1,0,1,1
CUST_000093,28,13.72,412.88,Two year,Bank transfer,Fiber optic,1,0,1,1,0
CUST_000094,16,27.71,418.49,Month-to-Month,Bank transfer,DSL,1,1,0,1,0
CUST_000095,29,27.42,830.91,Month-to-Month,Credit card,No,0,0,0,0,1
CUST_000096,13,20.74,285.07,Month-to-Month,Bank transfer,DSL,1,0,1,1,0
CUST_000097,14,15.89,229.16,Two year,Electronic check,DSL,0,1,0,1,0
CUST_000098,11,25.81,253.33,Month-to-Month,Credit card,DSL,0,0,1,0,1
CUST_000099,1,18.62,18.62,Month-to-Month,Electronic check,DSL,0,1,0,1,1
CUST_000100,2,17.52,38.73,Month-to-Month,Mailed check,No,0,0,0,0,1
CUST_000101,1,29.58,151.57,Month-to-Month,Bank transfer,DSL,0,1,0,0,1
CUST_000102,20,20.03,415.66,One year,Mailed check,Fiber optic,0,1,0,0,0
CUST_000103,7,24.76,142.76,One year,Electronic check,No,0,0,0,0,1
CUST_000104,14,20.07,239.36,Month-to-Month,Electronic check,Fiber optic,0,1,0,1,1
CUST_000105,47,25.55,1176.26,Month-to-Month,Bank transfer,Fiber optic,0,0,0,0,1
CUST_000106,5,18.34,200.56,Month-to-Month,Credit card,No,0,0,0,0,1
CUST_000107,10,18.92,169.24,Month-to-Month,Bank transfer,Fiber optic,1,1,0,0,0
CUST_000108,28,22.68,680.38,Month-to-Month,Bank transfer,DSL,0,0,0,1,0
CUST_000109,5,16.16,62.0,One year,Electronic check,Fiber optic,0,1,0,0,0
CUST_000110,1,11.68,24.74,Two year,Electronic check,No,0,0,0,0,0
CUST_000111,6,12.63,115.37,Two year,Electronic check,Fiber optic,1,0,0,0,0
CUST_000112,3,10.36,10.36,Two year,Electronic check,Fiber optic,0,1,0,1,1
CUST_000113,53,21.16,1089.42,One year,Mailed check,No,0,0,0,0,0
CUST_000114,33,18.4,690.14,One year,Electronic check,Fiber optic,0,1,0,0,1
CUST_000115,20,16.41,377.43,Month-to-Month,Electronic check,DSL,1,0,1,1,0
CUST_000116,41,14.23,622.96,One year,Bank transfer,DSL,0,1,1,1,0
CUST_000117,32,16.54,568.64,Month-to-Month,Credit card,Fiber optic,1,1,0,1,0
CUST_000118,4,24.19,119.74,Month-to-Month,Credit card,DSL,0,0,0,1,1
CUST_000119,44,13.22,682.57,One year,Bank transfer,No,0,0,0,0,0
CUST_000120,15,26.31,396.85,Month-to-Month,Electronic check,Fiber optic,0,1,0,0,0
CUST_000121,32,15.31,518.78,Month-to-Month,Bank transfer,Fiber optic,1,1,0,0,1
CUST_000122,45,12.49,489.5,Two year,Electronic check,Fiber optic,0,1,0,0,0
CUST_000123,7,28.36,157.27,Month-to-Month,Bank transfer,Fiber optic,1,1,0,1,1
CUST_000124,2,25.78,25.78,Month-to-Month,Credit card,Fiber optic,1,1,0,1,1
CUST_000125,5,10.73,117.35,Two year,Bank transfer,DSL,1,0,1,0,0
CUST_000126,11,22.67,121.74,One year,Credit card,Fiber optic,1,1,1,0,0
CUST_000127,34,22.4,741.48,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000128,39,27.7,930.61,Month-to-Month,Bank transfer,Fiber optic,1,0,1,1,0
CUST_000129,1,24.01,24.01,Month-to-Month,Electronic check,Fiber optic,0,0,1,0,1
CUST_000130,14,16.82,210.93,Two year,Credit card,DSL,1,0,1,0,0
CUST_000131,10,24.92,318.44,One year,Electronic check,No,0,0,0,0,1
CUST_000132,5,18.49,112.28,Month-to-Month,Credit card,No,0,0,0,0,0
CUST_000133,2,24.36,24.36,Month-to-Month,Electronic check,Fiber optic,1,1,1,0,0
CUST_000134,8,21.9,228.5,Month-to-Month,Electronic check,Fiber optic,1,0,1,1,1
CUST_000135,57,10.39,593.12,Two year,Credit card,Fiber optic,0,0,0,1,0
CUST_000136,7,15.22,108.42,Month-to-Month,Electronic check,Fiber optic,1,1,0,1,1
CUST_000137,14,13.55,129.57,One year,Credit card,No,0,0,0,0,1
CUST_000138,24,24.74,544.26,Month-to-Month,Electronic check,DSL,1,1,0,0,1
CUST_000139,9,19.37,133.08,One year,Credit card,Fiber optic,1,1,0,1,0
CUST_000140,71,15.53,1104.95,Two year,Bank transfer,DSL,0,1,0,1,0
CUST_000141,65,12.41,810.54,One year,Bank transfer,DSL,0,0,1,0,0
CUST_000142,5,22.04,187.4,Month-to-Month,Mailed check,Fiber optic,1,1,1,0,1
CUST_000143,13,24.02,331.51,One year,Electronic check,DSL,0,1,0,1,1
CUST_000144,7,17.17,17.17,One year,Credit card,Fiber optic,1,1,1,0,1
CUST_000145,6,24.37,159.35,Month-to-Month,Electronic check,DSL,1,1,0,0,0
CUST_000146,1,17.8,17.8,Two year,Mailed check,Fiber optic,1,1,0,1,0
CUST_000147,18,22.19,351.12,One year,Bank transfer,DSL,1,1,1,0,0
CUST_000148,13,15.19,156.86,Two year,Mailed check,Fiber optic,0,1,1,0,1
CUST_000149,1,23.15,23.15,One year,Electronic check,Fiber optic,1,0,0,1,0
CUST_000150,6,20.87,56.46,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000151,47,28.33,1341.68,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000152,5,18.6,22.46,Month-to-Month,Credit card,DSL,0,1,1,1,0
CUST_000153,3,12.8,56.23,Two year,Electronic check,DSL,0,1,1,0,0
CUST_000154,13,12.69,276.82,One year,Credit card,Fiber optic,1,1,0,1,0
CUST_000155,72,22.34,1542.01,One year,Electronic check,Fiber optic,1,0,0,0,1
CUST_000156,5,21.26,92.07,Month-to-Month,Electronic check,DSL,0,1,0,0,0
CUST_000157,22,18.44,279.51,Month-to-Month,Bank transfer,DSL,0,1,0,1,1
CUST_000158,28,15.01,405.23,One year,Electronic check,Fiber optic,1,0,0,1,0
CUST_000159,5,28.52,174.74,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000160,26,27.51,751.29,Month-to-Month,Credit card,No,0,0,0,0,1
CUST_000161,9,19.2,176.67,One year,Electronic check,DSL,1,0,1,0,1
CUST_000162,20,24.24,529.26,Month-to-Month,Credit card,Fiber optic,0,1,0,1,0
CUST_000163,20,22.11,569.5,Month-to-Month,Mailed check,DSL,1,1,0,0,0
CUST_000164,15,20.87,398.67,Month-to-Month,Electronic check,Fiber optic,0,1,0,1,1
CUST_000165,1,28.73,28.73,Month-to-Month,Electronic check,Fiber optic,1,1,1,1,1
CUST_000166,36,11.26,332.8,Two year,Credit card,Fiber optic,1,0,0,1,0
CUST_000167,7,21.28,128.65,Month-to-Month,Electronic check,Fiber optic,1,0,1,1,0
CUST_000168,4,20.17,33.33,Month-to-Month,Credit card,DSL,0,0,1,0,0
CUST_000169,1,22.47,45.04,Month-to-Month,Bank transfer,Fiber optic,1,0,1,1,1
CUST_000170,17,17.95,246.09,One year,Electronic check,No,0,0,0,0,0
CUST_000171,22,22.78,497.52,Month-to-Month,Mailed check,DSL,1,0,0,0,0
CUST_000172,1,13.82,55.72,One year,Credit card,DSL,0,0,0,1,1
CUST_000173,14,22.7,312.77,Month-to-Month,Bank transfer,Fiber optic,0,1,0,1,0
CUST_000174,5,18.64,45.88,Month-to-Month,Mailed check,Fiber optic,0,1,1,1,1
CUST_000175,20,17.76,413.94,Month-to-Month,Credit card,No,0,0,0,0,0
CUST_000176,3,10.65,10.65,Two year,Electronic check,Fiber optic,1,0,0,1,1
CUST_000177,23,17.63,389.1,Two year,Credit card,Fiber optic,0,1,1,1,0
CUST_000178,9,21.41,190.61,Month-to-Month,Credit card,Fiber optic,1,1,1,1,0
CUST_000179,55,24.4,1342.8,Month-to-Month,Bank transfer,No,0,0,0,0,0
CUST_000180,2,17.28,43.58,Two year,Credit card,Fiber optic,0,1,0,1,0
CUST_000181,8,25.19,232.04,Month-to-Month,Bank transfer,No,0,0,0,0,0
CUST_000182,2,14.71,27.65,Two year,Bank transfer,DSL,0,0,1,0,0
CUST_000183,51,20.82,1043.42,Month-to-Month,Bank transfer,Fiber optic,1,1,1,0,0
CUST_000184,41,13.76,543.78,Two year,Mailed check,Fiber optic,1,1,0,0,0
CUST_000185,5,20.32,71.02,One year,Bank transfer,DSL,1,1,1,0,0
CUST_000186,21,14.95,353.33,Two year,Electronic check,DSL,1,1,1,0,0
CUST_000187,33,23.04,727.99,One year,Mailed check,Fiber optic,1,1,1,1,0
CUST_000188,16,28.12,492.26,Month-to-Month,Electronic check,Fiber optic,1,1,1,0,1
CUST_000189,15,11.71,176.6,Two year,Electronic check,No,0,0,0,0,0
CUST_000190,5,17.04,59.14,Month-to-Month,Electronic check,Fiber optic,0,1,1,0,1
CUST_000191,1,24.46,55.38,Month-to-Month,Credit card,DSL,1,0,1,1,1
CUST_000192,45,15.92,680.03,One year,Mailed check,Fiber optic,1,0,1,1,0
CUST_000193,46,12.24,594.95,One year,Bank transfer,DSL,1,1,1,1,0
CUST_000194,20,18.89,388.44,Two year,Electronic check,Fiber optic,1,0,1,1,0
CUST_000195,8,18.4,117.38,Month-to-Month,Mailed check,Fiber optic,1,0,0,1,1
CUST_000196,8,24.08,219.07,One year,Electronic check,No,0,0,0,0,0
CUST_000197,25,21.33,560.58,One year,Electronic check,Fiber optic,1,1,0,0,0
CUST_000198,45,26.44,1247.68,Month-to-Month,Bank transfer,No,0,0,0,0,0
CUST_000199,43,18.02,823.17,Month-to-Month,Bank transfer,Fiber optic,0,0,0,1,0
CUST_000200,30,18.51,579.86,Month-to-Month,Electronic check,Fiber optic,1,0,1,1,0
CUST_000201,20,22.82,400.02,Month-to-Month,Mailed check,Fiber optic,1,1,0,0,1
CUST_000202,1,11.72,134.15,Two year,Credit card,Fiber optic,0,1,1,0,0
CUST_000203,3,15.97,15.97,One year,Electronic check,DSL,1,1,1,0,1
CUST_000204,45,16.18,775.56,One year,Electronic check,No,0,0,0,0,0
CUST_000205,18,11.6,230.36,Two year,Bank transfer,Fiber optic,0,0,0,1,0
CUST_000206,1,18.08,18.08,Month-to-Month,Electronic check,DSL,0,1,0,0,1
CUST_000207,2,17.89,29.56,Two year,Credit card,No,0,0,0,0,0
CUST_000208,21,17.51,363.77,Month-to-Month,Bank transfer,DSL,1,1,0,1,1
CUST_000209,1,10.28,75.56,Two year,Mailed check,No,0,0,0,0,1
CUST_000210,3,24.44,37.65,Month-to-Month,Mailed check,DSL,1,1,1,0,1
CUST_000211,15,19.76,283.3,Two year,Bank transfer,Fiber optic,0,1,0,0,0
CUST_000212,23,19.97,342.51,Month-to-Month,Electronic check,Fiber optic,0,1,1,0,1
CUST_000213,21,16.78,439.12,Month-to-Month,Credit card,Fiber optic,1,1,1,1,0
CUST_000214,5,19.42,43.58,One year,Bank transfer,DSL,1,1,1,0,0
CUST_000215,24,28.6,702.75,Month-to-Month,Electronic check,DSL,1,0,0,0,1
CUST_000216,5,22.19,105.88,One year,Bank transfer,DSL,0,1,1,0,0
CUST_000217,7,24.34,165.48,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000218,27,16.1,475.19,One year,Electronic check,DSL,0,1,1,0,0
CUST_000219,20,23.13,546.16,Month-to-Month,Bank transfer,Fiber optic,0,1,1,0,1
CUST_000220,37,16.37,618.26,Month-to-Month,Bank transfer,No,0,0,0,0,0
CUST_000221,21,25.18,561.53,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000222,16,25.88,430.52,Month-to-Month,Electronic check,DSL,0,1,0,0,1
CUST_000223,1,29.48,80.36,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000224,9,18.91,147.04,Month-to-Month,Electronic check,DSL,1,1,0,0,1
CUST_000225,6,15.28,145.45,Month-to-Month,Bank transfer,Fiber optic,0,1,0,1,0
CUST_000226,5,23.18,171.42,Month-to-Month,Bank transfer,Fiber optic,1,1,1,0,1
CUST_000227,72,21.19,1579.81,One year,Bank transfer,DSL,1,0,1,1,0
CUST_000228,9,17.9,128.09,Two year,Credit card,DSL,1,1,1,1,0
CUST_000229,44,17.91,779.62,Month-to-Month,Credit card,Fiber optic,1,1,1,1,0
CUST_000230,19,15.4,304.57,One year,Credit card,Fiber optic,0,0,0,0,0
CUST_000231,31,18.66,509.92,One year,Credit card,No,0,0,0,0,0
CUST_000232,13,19.96,339.23,Month-to-Month,Credit card,Fiber optic,1,1,1,0,1
CUST_000233,17,23.19,393.62,One year,Credit card,No,0,0,0,0,0
CUST_000234,13,22.11,301.63,Month-to-Month,Credit card,Fiber optic,0,0,0,1,0
CUST_000235,4,26.99,79.11,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000236,25,23.71,526.41,Month-to-Month,Electronic check,Fiber optic,0,0,0,1,1
CUST_000237,6,22.05,102.1,One year,Electronic check,No,0,0,0,0,0
CUST_000238,1,16.32,27.28,One year,Credit card,DSL,1,0,1,1,0
CUST_000239,20,27.47,583.07,Month-to-Month,Mailed check,Fiber optic,0,1,0,0,1
CUST_000240,3,19.12,65.45,Month-to-Month,Credit card,DSL,1,0,0,0,1
CUST_000241,56,15.46,883.1,Two year,Electronic check,DSL,1,1,0,0,0
CUST_000242,61,18.21,1093.96,Month-to-Month,Mailed check,Fiber optic,1,0,0,0,0
CUST_000243,49,22.13,1109.18,Month-to-Month,Bank transfer,Fiber optic,0,0,0,0,0
CUST_000244,9,13.18,192.76,Two year,Credit card,DSL,1,0,1,0,0
CUST_000245,1,15.47,50.71,One year,Electronic check,Fiber optic,1,1,0,1,0
CUST_000246,52,24.57,1318.12,One year,Credit card,Fiber optic,1,0,1,0,0
CUST_000247,11,14.08,169.58,One year,Credit card,DSL,0,1,0,1,0
CUST_000248,68,17.87,1140.0,Two year,Electronic check,Fiber optic,1,1,0,1,0
CUST_000249,66,29.76,1911.93,Month-to-Month,Mailed check,Fiber optic,1,0,1,1,1
CUST_000250,38,15.3,604.14,Month-to-Month,Electronic check,DSL,1,1,0,1,0
CUST_000251,6,25.49,152.39,Month-to-Month,Electronic check,Fiber optic,1,1,0,1,0
CUST_000252,9,12.53,134.76,Two year,Mailed check,Fiber optic,0,1,0,0,0
CUST_000253,38,12.53,559.96,One year,Electronic check,No,0,0,0,0,0
CUST_000254,7,21.04,183.58,Month-to-Month,Electronic check,DSL,0,0,1,0,0
CUST_000255,3,19.35,120.99,Two year,Credit card,No,0,0,0,0,0
CUST_000256,16,15.18,247.61,Month-to-Month,Bank transfer,DSL,1,1,0,1,0
CUST_000257,55,23.82,1269.74,Month-to-Month,Bank transfer,Fiber optic,1,1,1,0,0
CUST_000258,23,22.52,515.07,Month-to-Month,Electronic check,DSL,1,0,0,1,0
CUST_000259,16,28.1,409.36,Month-to-Month,Credit card,No,0,0,0,0,0
CUST_000260,2,10.84,99.59,Two year,Credit card,Fiber optic,0,1,0,0,0
CUST_000261,19,25.22,518.7,Month-to-Month,Bank transfer,DSL,1,1,0,0,1
CUST_000262,72,16.8,1235.63,Two year,Credit card,DSL,1,0,0,1,0
CUST_000263,3,20.7,123.9,One year,Credit card,DSL,1,1,1,0,0
CUST_000264,14,29.14,306.96,Month-to-Month,Bank transfer,DSL,0,1,1,0,0
CUST_000265,41,18.23,776.84,Two year,Bank transfer,Fiber optic,0,0,0,1,0
CUST_000266,27,15.63,356.48,Month-to-Month,Electronic check,Fiber optic,1,1,1,1,1
CUST_000267,23,22.07,507.25,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000268,24,20.97,487.69,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000269,8,13.1,137.89,Two year,Electronic check,Fiber optic,0,1,1,0,1
CUST_000270,6,21.77,142.03,Month-to-Month,Electronic check,DSL,1,1,0,0,0
CUST_000271,33,20.76,752.34,Month-to-Month,Credit card,Fiber optic,1,1,1,0,0
CUST_000272,33,21.49,679.08,Month-to-Month,Electronic check,Fiber optic,1,0,0,0,0
CUST_000273,40,29.69,1223.06,Month-to-Month,Credit card,Fiber optic,1,0,0,0,1
CUST_000274,48,13.15,639.31,One year,Bank transfer,Fiber optic,0,0,1,1,0
CUST_000275,14,28.83,321.86,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000276,13,22.2,242.67,Month-to-Month,Mailed check,No,0,0,0,0,1
CUST_000277,32,24.36,772.03,Month-to-Month,Electronic check,DSL,1,1,0,1,0
CUST_000278,20,27.45,604.61,Month-to-Month,Credit card,DSL,0,1,1,1,1
CUST_000279,24,13.6,349.59,Two year,Credit card,No,0,0,0,0,0
CUST_000280,31,21.46,606.88,Month-to-Month,Electronic check,No,0,0,0,0,0
CUST_000281,44,14.1,613.38,Two year,Credit card,DSL,0,0,0,1,0
CUST_000282,8,20.62,265.85,Month-to-Month,Bank transfer,Fiber optic,1,1,0,1,1
CUST_000283,9,28.88,265.48,Month-to-Month,Electronic check,Fiber optic,1,0,0,1,1
CUST_000284,1,18.29,18.29,Two year,Bank transfer,Fiber optic,1,0,0,1,0
CUST_000285,17,16.63,307.3,Month-to-Month,Bank transfer,DSL,0,0,1,1,1
CUST_000286,1,13.41,51.58,One year,Electronic check,No,0,0,0,0,0
CUST_000287,12,14.28,148.55,Two year,Credit card,Fiber optic,1,1,1,1,0
CUST_000288,15,16.48,272.33,Month-to-Month,Electronic check,DSL,1,0,0,0,1
CUST_000289,6,24.29,129.3,Month-to-Month,Mailed check,Fiber optic,1,1,0,0,1
CUST_000290,17,13.87,271.76,One year,Electronic check,Fiber optic,0,0,1,1,0
CUST_000291,1,22.84,31.32,Month-to-Month,Credit card,No,0,0,0,0,0
CUST_000292,1,15.11,39.21,Month-to-Month,Credit card,DSL,0,0,0,1,1
CUST_000293,34,19.75,633.54,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000294,8,25.16,160.22,Month-to-Month,Electronic check,DSL,1,1,1,1,1
CUST_000295,2,18.29,83.85,One year,Electronic check,Fiber optic,1,1,0,1,1
CUST_000296,14,29.67,411.41,Month-to-Month,Credit card,Fiber optic,1,1,0,0,0
CUST_000297,29,28.11,829.44,Month-to-Month,Electronic check,Fiber optic,0,0,1,1,0
CUST_000298,4,16.67,51.36,One year,Credit card,Fiber optic,1,1,1,1,0
CUST_000299,19,15.68,342.86,Month-to-Month,Credit card,No,0,0,0,0,0
CUST_000300,1,27.68,27.68,Month-to-Month,Bank transfer,Fiber optic,0,1,0,1,1
CUST_000301,1,23.85,23.85,One year,Electronic check,Fiber optic,1,1,0,0,0
CUST_000302,15,27.31,448.95,Month-to-Month,Mailed check,DSL,0,1,0,0,0
CUST_000303,15,13.66,263.55,One year,Mailed check,DSL,1,0,1,0,0
CUST_000304,20,19.98,373.41,Two year,Bank transfer,DSL,0,1,1,0,0
CUST_000305,25,18.88,569.98,Month-to-Month,Bank transfer,No,0,0,0,0,0
CUST_000306,72,25.86,1877.58,Month-to-Month,Bank transfer,Fiber optic,1,1,1,1,0
CUST_000307,14,28.62,348.53,Month-to-Month,Mailed check,No,0,0,0,0,0
CUST_000308,7,18.54,148.23,Month-to-Month,Credit card,DSL,1,1,1,1,0
CUST_000309,31,19.08,572.33,Two year,Electronic check,Fiber optic,1,1,0,0,1
CUST_000310,6,13.09,100.24,Two year,Mailed check,DSL,1,1,0,0,0
CUST_000311,11,29.65,324.01,Month-to-Month,Credit card,Fiber optic,1,1,0,0,0
CUST_000312,1,15.66,19.37,One year,Electronic check,Fiber optic,1,0,1,1,0
CUST_000313,1,19.53,19.53,Two year,Bank transfer,DSL,1,0,0,1,0
CUST_000314,65,10.54,734.6,Two year,Credit card,Fiber optic,1,0,0,1,1
